,Name,Link,Distillery,Vintage,Country,Region,Size,Whisky Type,Bottles Produced,Distillery Staus,Strength,Warnings,Sold on,Cask No.,Cask Finish,Fill Level,Bottle No.,Cask Type,Batch No.,Winning Bid,Highest bid,Lot Id
93,Macallan - Home Collection - The Distillery,https://www.highlandwhiskyauctions.com/lot-130889/macallan-home-collection-the-distillery/auction-13,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43.5%,Sticky residue on box front.,08/02/2023,,,,,,, £360.00,,130889
94,Glenglassaugh - 27 Years Old 1978 - The Old Malt Cask,https://www.highlandwhiskyauctions.com/lot-130383/glenglassaugh-27-years-old-1978-the-old-malt-cask/auction-13,Glenglassaugh,27YearsOld,Scotland,Highland,70cl,SingleMaltWhisky,213,Operational,50%,Box wear.,,1994,,,,,,, £360.00,130383
95,Hibiki - Japanese Harmony - (Ryusui-Hyakka) Limited Edition 2021,https://www.highlandwhiskyauctions.com/lot-130747/hibiki-japanese-harmony-ryusui-hyakka-limited-edition-2021/auction-13,HibikiSuntory,,Japan,Japanese,70cl,BlendedWhisky,,Operational,43%,Minor box wear.,,,,,,,,, £360.00,130747
96,Bowmore - Cask Strength - Screen Print,https://www.highlandwhiskyauctions.com/lot-130537/bowmore-cask-strength-screen-print/auction-13,Bowmore,,Scotland,Islay,70cl,SingleMaltWhisky,,Operational,56%,Tube condition.,08/02/2023,,,,,,, £360.00,,130537
97,Springbank - 10 Years Old - Local Barley 2011,https://www.highlandwhiskyauctions.com/lot-130557/springbank-10-years-old-local-barley-2011/auction-13,Springbank,10YearsOld,Scotland,Campbeltown,70cl,SingleMaltWhisky,15000,Operational,51.6%,Minor box & label tears.,08/02/2023,,,,,,, £340.00,,130557
98,Ardbeg - Twenty One - Committee Release 2016,https://www.highlandwhiskyauctions.com/lot-130248/ardbeg-twenty-one-committee-release-2016/auction-13,Ardbeg,21YearsOld,Scotland,Islay,70cl,SingleMaltWhisky,,Operational,46%,Minor box creases.,08/02/2023,,,,,,, £340.00,,130248
99,Highland Park - 1973 - Gordon & MacPhail Gift Pack,https://www.highlandwhiskyauctions.com/lot-130262/highland-park-1973-gordon-macphail-gift-pack/auction-13,HighlandPark,,Scotland,Islands,70cl,SingleMaltWhisky,,Operational,43%,Minor box marks.,,,,,,,,, £340.00,130262
100,Balvenie - Tun 1509 - Batch 2,https://www.highlandwhiskyauctions.com/lot-130762/balvenie-tun-1509-batch-2/auction-13,Balvenie,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,50.3%,Tube scratches.Minor label lifting.,08/02/2023,,,,,,, £320.00,,130762
101,Glenglassaugh - 17 Years Old - 1967 Connoisseurs Choice 75cl,https://www.highlandwhiskyauctions.com/lot-130518/glenglassaugh-17-years-old-1967-connoisseurs-choice-75cl/auction-13,Glenglassaugh,17YearsOld,Scotland,Highland,75cl,SingleMaltWhisky,,Operational,40%,Minor label wear & screwtop condition.,08/02/2023,,,,,,, £320.00,,130518
102,Glenallachie - 21 Years Old - Batch 3,https://www.highlandwhiskyauctions.com/lot-130294/glenallachie-21-years-old-batch-3/auction-13,Glenallachie,21YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,2400,Operational,51.5%,None,08/02/2023,,,,,,, £300.00,,130294
103,Glenallachie - 21 Years Old - Batch 3,https://www.highlandwhiskyauctions.com/lot-130299/glenallachie-21-years-old-batch-3/auction-13,Glenallachie,21YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,2400,Operational,51.5%,None,08/02/2023,,,,,,, £300.00,,130299
104,Highland Park - 27 Years Old -  1984 Old & Rare Platinum Selection,https://www.highlandwhiskyauctions.com/lot-130565/highland-park-27-years-old-1984-old-rare-platinum-selection/auction-13,HighlandPark,27YearsOld,Scotland,Islands,70cl,SingleMaltWhisky,236,Operational,51.6%,Marks on box.,,,,,132,,,, £300.00,130565
105,Glenallachie - 21 Years Old - Batch 3,https://www.highlandwhiskyauctions.com/lot-130311/glenallachie-21-years-old-batch-3/auction-13,Glenallachie,21YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,2400,Operational,51.5%,None,08/02/2023,,,,,,, £300.00,,130311
106,Macallan - Edition 3 - 75cl,https://www.highlandwhiskyauctions.com/lot-130339/macallan-edition-3-75cl/auction-13,Macallan,,Scotland,Speyside,75cl,SingleMaltWhisky,,Operational,48.3%,None,08/02/2023,,,,,,, £300.00,,130339
107,Macallan - Double Cask Gold 6 x 70cl,https://www.highlandwhiskyauctions.com/lot-130602/macallan-double-cask-gold-6-x-70cl/auction-13,Macallan,,Scotland,Speyside,210cl,SingleMaltWhisky,,Operational,40%,None,08/02/2023,,,,,,, £300.00,,130602
108,Aberlour - 10 Years Old - 6 x 70cl,https://www.highlandwhiskyauctions.com/lot-130603/aberlour-10-years-old-6-x-70cl/auction-13,Aberlour,,Scotland,Speyside,210cl,SingleMaltWhisky,,Operational,40%,Overall condition.,08/02/2023,,,,,,, £300.00,,130603
109,Macallan - Rare Cask - 2022 Release,https://www.highlandwhiskyauctions.com/lot-130354/macallan-rare-cask-2022-release/auction-13,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,None,08/02/2023,,,,,,, £300.00,,130354
110,Glen Garioch - 30 Years Old - Vintage Edition 1978,https://www.highlandwhiskyauctions.com/lot-130360/glen-garioch-30-years-old-vintage-edition-1978/auction-13,GlenGarioch,30YearsOld,Scotland,Highland,70cl,SingleMaltWhisky,1320,Operational,57.8%,Minor marks on box.,,,,,132,,,, £300.00,130360
111,Macallan - 9 Years Old - 1990 Signatory Vintage - Millennium Edition 1.5 litre,https://www.highlandwhiskyauctions.com/lot-130368/macallan-9-years-old-1990-signatory-vintage-millennium-edition-15-litre/auction-13,Macallan,9YearsOld,Scotland,Speyside,150cl,SingleMaltWhisky,468,Operational,43%,Minor box & seal wear.,08/02/2023,10041,,,279,,, £300.00,,130368
112,Glen Scotia - 25 Years Old ,https://www.highlandwhiskyauctions.com/lot-130397/glen-scotia-25-years-old/auction-13,GlenScotia,25YearsOld,Scotland,Campbeltown,70cl,SingleMaltWhisky,,Operational,48.8%,None,,,,,,,,, £300.00,130397
113,Macallan - Speymalt 2001,https://www.highlandwhiskyauctions.com/lot-130399/macallan-speymalt-2001/auction-13,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,215,Operational,51.1%,None,,3433,,,,,,, £300.00,130399
114,Macallan - Speymalt 2002,https://www.highlandwhiskyauctions.com/lot-130400/macallan-speymalt-2002/auction-13,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,248,Operational,57.3%,None,,1178,,,,,,, £300.00,130400
115,Macallan - Home Collection - The Distillery,https://www.highlandwhiskyauctions.com/lot-130743/macallan-home-collection-the-distillery/auction-13,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43.5%,Small tear on corner of box.,08/02/2023,,,,,,, £300.00,,130743
116,Hazelburn - Rundlets & Kilderkins - Christmas 2012 (Private Bottling),https://www.highlandwhiskyauctions.com/lot-130232/hazelburn-rundlets-kilderkins-christmas-2012-private-bottling/auction-13,Springbank,,Scotland,Campbeltown,70cl,SingleMaltWhisky,66,Operational,46%,Label marks.Box creases/marks.,,,,,,,,, £300.00,130232
117,Redbreast - 1998 - All Sherry Single Cask #43231,https://www.highlandwhiskyauctions.com/lot-130292/redbreast-1998-all-sherry-single-cask-43231/auction-13,RedBreast,,Ireland,Ireland,70cl,IrishWhiskey,576,Operational,57.7%,Box condition.,,,,,383,,,, £280.00,130292
118,Glenallachie - 21 Years Old - Batch 3,https://www.highlandwhiskyauctions.com/lot-130293/glenallachie-21-years-old-batch-3/auction-13,Glenallachie,21YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,2400,Operational,51.5%,None,08/02/2023,,,,,,, £280.00,,130293
119,Macallan - Edition 3,https://www.highlandwhiskyauctions.com/lot-130819/macallan-edition-3/auction-13,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,,48.3%,Box condition.,08/02/2023,,,,,,, £280.00,,130819
120,Glenallachie - 21 Years Old - Batch 3,https://www.highlandwhiskyauctions.com/lot-130298/glenallachie-21-years-old-batch-3/auction-13,Glenallachie,21YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,2400,Operational,51.5%,None,08/02/2023,,,,,,, £280.00,,130298
121,Macallan - Edition 3,https://www.highlandwhiskyauctions.com/lot-130305/macallan-edition-3/auction-13,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,48.3%,None,08/02/2023,,,,,,, £280.00,,130305
122,Macallan - 18 Years Old - 2022 Release,https://www.highlandwhiskyauctions.com/lot-130346/macallan-18-years-old-2022-release/auction-13,Macallan,18YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,Box condition.,,,,,,,,, £280.00,130346
123,Macallan - The Harmony Collection - Rich Cacao,https://www.highlandwhiskyauctions.com/lot-130882/macallan-the-harmony-collection-rich-cacao/auction-13,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,44%,None,08/02/2023,,,,,,, £280.00,,130882
124,Macallan - 18 Years Old - 2022 Release + Tote Bag,https://www.highlandwhiskyauctions.com/lot-130894/macallan-18-years-old-2022-release-tote-bag/auction-13,Macallan,18YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,Box condition.,08/02/2023,,,,,,, £280.00,,130894
125,Longrow - 21 Years Old,https://www.highlandwhiskyauctions.com/lot-130389/longrow-21-years-old/auction-13,Longrow,21YearsOld,Scotland,Campbeltown,70cl,SingleMaltWhisky,,Operational,46%,Minor label tears.,08/02/2023,,,,,,, £280.00,,130389
126,Macallan - Harmony - Smooth Arabica,https://www.highlandwhiskyauctions.com/lot-130676/macallan-harmony-smooth-arabica/auction-13,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,None,08/02/2023,,,,,,, £280.00,,130676
127,Macallan - 18 Years Old - 2022 Release,https://www.highlandwhiskyauctions.com/lot-130235/macallan-18-years-old-2022-release/auction-13,Macallan,18YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,Mark on top of box.,,,,,,,,, £280.00,130235
128,Banff - 13 Years Old - 1974 Connoisseurs Choice 75cl,https://www.highlandwhiskyauctions.com/lot-130517/banff-13-years-old-1974-connoisseurs-choice-75cl/auction-13,Banff,13YearsOld,Scotland,Highland,75cl,SingleMaltWhisky,,Closed,40%,Label condition.,08/02/2023,,,,,,, £280.00,,130517
129,Springbank - 10 Years Old - Pedro Ximenez Cask - 2022 Release,https://www.highlandwhiskyauctions.com/lot-130810/springbank-10-years-old-pedro-ximenez-cask-2022-release/auction-13,Springbank,10YearsOld,Scotland,Campbeltown,70cl,SingleMaltWhisky,10800,Operational,55%,Label condition.,08/02/2023,,,,,,, £280.00,,130810
130,Macallan - Rare Cask - 2021 Release,https://www.highlandwhiskyauctions.com/lot-130302/macallan-rare-cask-2021-release/auction-13,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,None,08/02/2023,,,,,,, £260.00,,130302
131,Springbank - 18 Years Old - 2017,https://www.highlandwhiskyauctions.com/lot-130349/springbank-18-years-old-2017/auction-13,Springbank,18YearsOld,Scotland,Campbeltown,70cl,SingleMaltWhisky,,Operational,46%,Minor box/label wear.,08/02/2023,,,,,,, £260.00,,130349
132,Connoisseurs Choice - 1960s Assorted Miniatures x12,https://www.highlandwhiskyauctions.com/lot-130608/connoisseurs-choice-1960s-assorted-miniatures-x12/auction-13,GordonandMacPhail,,Scotland,,60cl,SingleMaltWhisky,,,40%,Overall condition.,08/02/2023,,,,,,, £260.00,,130608
133,Macallan - Harmony - Smooth Arabica,https://www.highlandwhiskyauctions.com/lot-130881/macallan-harmony-smooth-arabica/auction-13,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,None,08/02/2023,,,,,,, £260.00,,130881
134,Macallan - Whisky Makers Edition - The 1824 Collection & 5cl,https://www.highlandwhiskyauctions.com/lot-130884/macallan-whisky-makers-edition-the-1824-collection-5cl/auction-13,Macallan,,Scotland,Speyside,75cl,SingleMaltWhisky,,Operational,42.8%,Minor label lifting & miniature box condition.,08/02/2023,,,,,,, £260.00,,130884
135,Macallan - 18 Years Old - 2022 Release + Tote Bag,https://www.highlandwhiskyauctions.com/lot-130896/macallan-18-years-old-2022-release-tote-bag/auction-13,Macallan,18YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,Minor label wear.,08/02/2023,,,,,,, £260.00,,130896
136,Macallan - Rare Cask - 2019 Release Batch #2,https://www.highlandwhiskyauctions.com/lot-130387/macallan-rare-cask-2019-release-batch-2/auction-13,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,Box defect.,08/02/2023,,,,,,, £260.00,,130387
137,Macallan - Harmony - Smooth Arabica,https://www.highlandwhiskyauctions.com/lot-130675/macallan-harmony-smooth-arabica/auction-13,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,Box condition.,08/02/2023,,,,,,, £260.00,,130675
138,Johnnie Walker - Blue Label - Port Ellen - Ghost and Rare,https://www.highlandwhiskyauctions.com/lot-130722/johnnie-walker-blue-label-port-ellen-ghost-and-rare/auction-13,JohnnieWalker,,Scotland,,70cl,BlendedWhisky,,Operational,43.8%,None,08/02/2023,,,,EU9818,,, £260.00,,130722
139,Macallan - Harmony - Smooth Arabica,https://www.highlandwhiskyauctions.com/lot-130742/macallan-harmony-smooth-arabica/auction-13,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,Box is indented at front & back.,08/02/2023,,,,,,, £260.00,,130742
140,Balvenie - 15 Years Old - 1977 Single Barrel,https://www.highlandwhiskyauctions.com/lot-130492/balvenie-15-years-old-1977-single-barrel/auction-13,Balvenie,15YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,50.4%,Overall condition.,08/02/2023,10037,,,46,,, £260.00,,130492
141,Glen Moray - 25 Years Old - 1988 Port Cask Finish,https://www.highlandwhiskyauctions.com/lot-130563/glen-moray-25-years-old-1988-port-cask-finish/auction-13,GlenMoray,25YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,None,08/02/2023,,,,782,,, £250.00,,130563
142,Macallan - Rare Cask - 2022 Release,https://www.highlandwhiskyauctions.com/lot-130342/macallan-rare-cask-2022-release/auction-13,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,Rear box mark as per picture.,,,,,,,,, £250.00,130342
143,Balvenie - 15 Years Old - 1977 Single Barrel,https://www.highlandwhiskyauctions.com/lot-130900/balvenie-15-years-old-1977-single-barrel/auction-13,Balvenie,15YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,50.4%,Overall condition.,08/02/2023,10037,,,47,,, £250.00,,130900
144,Kilkerran - Port Wood - Christmas 2008 (Private Bottling),https://www.highlandwhiskyauctions.com/lot-130230/kilkerran-port-wood-christmas-2008-private-bottling/auction-13,Glengyle,,Scotland,Campbeltown,70cl,SingleMaltWhisky,60,Operational,46%,Minor label tear.,,,,,,,,, £250.00,130230
145,Old Pulteney - 19 Years Old - First Cask 1974,https://www.highlandwhiskyauctions.com/lot-130515/old-pulteney-19-years-old-first-cask-1974/auction-13,OldPulteney,19YearsOld,Scotland,Highland,70cl,SingleMaltWhisky,,Operational,46%,Label condition.,08/02/2023,6279,,,0242,,, £250.00,,130515
146,Macallan - 18 Years Old - Double Cask 2021,https://www.highlandwhiskyauctions.com/lot-130270/macallan-18-years-old-double-cask-2021/auction-13,Macallan,18YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,Box marks.,08/02/2023,,,,,,, £250.00,,130270
147,Bowmore - Darkest,https://www.highlandwhiskyauctions.com/lot-130536/bowmore-darkest/auction-13,Bowmore,,Scotland,Islay,70cl,SingleMaltWhisky,,Operational,43%,Tube condition.,08/02/2023,,,,,,, £250.00,,130536
148,Linkwood - 12 Years Old - Manager's Dram,https://www.highlandwhiskyauctions.com/lot-130546/linkwood-12-years-old-managers-dram/auction-13,Linkwood,12YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,59.5%,Label condition.,08/02/2023,,,,744,,, £240.00,,130546
149,Glenfiddich - 25 Years Old - Rare Oak,https://www.highlandwhiskyauctions.com/lot-130765/glenfiddich-25-years-old-rare-oak/auction-13,,25YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,Box condition.,,,,,,,,, £240.00,130765
150,Glenfiddich - 25 Years Old - Rare Oak,https://www.highlandwhiskyauctions.com/lot-130766/glenfiddich-25-years-old-rare-oak/auction-13,,25YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,Box condition.,,,,,,,,, £240.00,130766
151,Mortlach - 19 Years Old - Manager's Dram,https://www.highlandwhiskyauctions.com/lot-130547/mortlach-19-years-old-managers-dram/auction-13,Mortlach,19YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,55.8%,Label condition.,08/02/2023,,,,1079,,, £230.00,,130547
152,Glenfiddich - 13 Years Old - Spirit Of Speyside Whisky Festival 2022,https://www.highlandwhiskyauctions.com/lot-130307/glenfiddich-13-years-old-spirit-of-speyside-whisky-festival-2022/auction-13,Glenfiddich,13YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,250,Operational,62.12%,None,08/02/2023,2985,,,189,,, £230.00,,130307
153,Balvenie - 15 Years Old - 1977 Single Barrel,https://www.highlandwhiskyauctions.com/lot-130901/balvenie-15-years-old-1977-single-barrel/auction-13,Balvenie,15YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,50.4%,Overall condition.,08/02/2023,10037,,,48,,, £230.00,,130901
154,Ardbeg - Supernova - Stellar Release,https://www.highlandwhiskyauctions.com/lot-130416/ardbeg-supernova-stellar-release/auction-13,Ardbeg,,Scotland,Islay,70cl,SingleMaltWhisky,,Operational,58.9%,Very minor box scratches.,08/02/2023,,,,,,, £230.00,,130416
155,Bowmore - 17 Years Old - Old Style,https://www.highlandwhiskyauctions.com/lot-130538/bowmore-17-years-old-old-style/auction-13,Bowmore,17YearsOld,Scotland,Islay,70cl,SingleMaltWhisky,,Operational,43%,Tube condition.,08/02/2023,,,,,,, £230.00,,130538
156,Macallan - Edition 4,https://www.highlandwhiskyauctions.com/lot-130820/macallan-edition-4/auction-13,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,48.4%,Box condition.,08/02/2023,,,,,,, £225.00,,130820
157,Macallan - 18 Years Old - Double Cask 2022,https://www.highlandwhiskyauctions.com/lot-130394/macallan-18-years-old-double-cask-2022/auction-13,Macallan,18YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,None,08/02/2023,,,,,,, £220.00,,130394
158,Crabbie - 25 Years Old - Limited Edition,https://www.highlandwhiskyauctions.com/lot-130401/crabbie-25-years-old-limited-edition/auction-13,Crabbie&Co.,25YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,46.6%,None,,,,,,,,, £220.00,130401
159,Aberlour - The Mystery Of Aberlour Bookcase,https://www.highlandwhiskyauctions.com/lot-130421/aberlour-the-mystery-of-aberlour-bookcase/auction-13,Aberlour,,Scotland,Speyside,,Merchandise,,,,None,08/02/2023,,,,,,, £220.00,,130421
160,Johnnie Walker - Blue Label - Glenury Royal - Ghost and Rare,https://www.highlandwhiskyauctions.com/lot-130721/johnnie-walker-blue-label-glenury-royal-ghost-and-rare/auction-13,JohnnieWalker,,Scotland,,70cl,BlendedWhisky,,Operational,43.8%,Minor box defect.,08/02/2023,,,,EU08067,,, £220.00,,130721
161,Johnnie Walker - Blue Label - Pittyvaich - Ghost and Rare,https://www.highlandwhiskyauctions.com/lot-130723/johnnie-walker-blue-label-pittyvaich-ghost-and-rare/auction-13,JohnnieWalker,,Scotland,,70cl,BlendedWhisky,,Operational,43.8%,None,08/02/2023,,,,EU5534,,, £220.00,,130723
162,Glenfiddich - 14 Years Old - Spirit Of Speyside Whisky Festival 2022,https://www.highlandwhiskyauctions.com/lot-130238/glenfiddich-14-years-old-spirit-of-speyside-whisky-festival-2022/auction-13,Glenfiddich,14YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,200,Operational,59%,None,08/02/2023,794,,,200,,, £220.00,,130238
163,Macallan - Classic Cut - 2018 (75cl),https://www.highlandwhiskyauctions.com/lot-130273/macallan-classic-cut-2018-75cl/auction-13,Macallan,,Scotland,Speyside,75cl,SingleMaltWhisky,,Operational,51.2%,None,,,,,,,,, £220.00,130273
